  4.290pH         23.3øC 27-12-2003 14:43:27
  4.292pH         23.4øC 27-12-2003 14:43:57
  4.277pH         23.4øC 27-12-2003 14:44:27
  4.273pH         23.4øC 27-12-2003 14:44:57
  4.268pH         23.4øC 27-12-2003 14:45:27
  4.2skajfdbnk
  4.358pH         26.0øC 27-12-2003 17:38:27
  4.358pH         26.0øC 27-12-2003 17:38:57
  4.358pH         26.0øC 27-12-2003 17:39:27
  4.358pH         26.0øC 27-12-2003 17:39:57
  4.358pH         26.0øC 27-12-2003 17:40:27
  4.357pH         26.0øC 27-12-2003 17:40:57
  4.359pH         26.0øC 27-12-2003 17:41:27
  4.359pH         26.0øC 27-12-2003 17:41:57
  4.359pH         26.0øC 27-12-2003 17:42:27
  4.358pH         26.0øC 27-12-2003 17:42:57
  4.358pH         26.0øC 27-12-2003 17:43:27
  4.359pH         26.0øC 27-12-2003 17:43:57
  4.359pH         26.0øC 27-12-2003 17:44:27
  4.359pH         26.0øC 27-12-2003 17:44:57
  4.359pH         26.0øC 27-12-2003 17:45:27
  4.359pH         26.0øC 27-12-2003 17:45:57
  4.359pH         26.0øC 27-12-2003 17:46:27
  4.359pH         26.0øC 27-12-2003 17:46:57
  4.359pH         26.0øC 27-12-2003 17:47:27
  4.360pH         26.0øC 27-12-2003 17:47:57
  4.359pH         26.0øC 27-12-2003 17:48:27
  4.359pH         26.0øC 27-12-2003 17:48:57
  4.360pH         26.0øC 27-12-2003 17:49:27
  4.359pH         26.0øC 27-12-2003 17:49:57
  4.361pH         26.0øC 27-12-2003 17:50:27
  4.360pH         26.0øC 27-12-2003 17:50:57
  4.360pH         26.0øC 27-12-2003 17:51:27
  4.360pH         26.0øC 27-12-2003 17:51:57
  4.360pH         26.0øC 27-12-2003 17:52:27
  4.361pH         26.0øC 27-12-2003 17:52:57
  4.361pH         26.0øC 27-12-2003 17:53:27
  4.360pH         26.0øC 27-12-2003 17:53:57
  4.361pH         26.0øC 27-12-2003 17:54:27
  4.360pH         26.0øC 27-12-2003 17:54:57
  4.361pH         26.0øC 27-12-2003 17:55:27
  4.361pH         26.0øC 27-12-2003 17:55:57
  4.361pH         26.0øC 27-12-2003 17:56:27
  4.361pH         26.0øC 27-12-2003 17:56:57
  4.361pH         26.0øC 27-12-2003 17:57:27
  4.362pH         26.0øC 27-12-2003 17:57:57
  4.362pH         26.0øC 27-12-2003 17:58:27
  4.362pH         26.0øC 27-12-2003 17:58:57
  4.362pH         26.0øC 27-12-2003 17:59:27
  4.362pH         26.0øC 27-12-2003 17:59:57
  4.362pH         26.0øC 27-12-2003 18:00:27
  4.362pH         26.0øC 27-12-2003 18:00:57
  4.362pH         26.0øC 27-12-2003 18:01:27
  4.362pH         26.0øC 27-12-2003 18:01:57
  4.362pH         26.0øC 27-12-2003 18:02:27
  4.363pH         26.0øC 27-12-2003 18:02:57
  4.362pH         26.0øC 27-12-2003 18:03:27
  4.362pH         26.0øC 27-12-2003 18:03:57
  4.362pH         26.0øC 27-12-2003 18:04:27
  4.362pH         26.0øC 27-12-2003 18:04:57
  4.362pH         26.0øC 27-12-2003 18:05:27
  4.362pH         26.0øC 27-12-2003 18:05:57
  4.362pH         26.0øC 27-12-2003 18:06:27
  4.362pH         26.0øC 27-12-2003 18:06:57
  4.363pH         26.0øC 27-12-2003 18:07:27
  4.362pH         26.0øC 27-12-2003 18:07:57
  4.362pH         26.0øC 27-12-2003 18:08:27
  4.363pH         26.0øC 27-12-2003 18:08:57
  4.363pH         26.0øC 27-12-2003 18:09:27
  4.363pH         26.0øC 27-12-2003 18:09:57
  4.363pH         26.0øC 27-12-2003 18:10:27
  4.363pH         26.0øC 27-12-2003 18:10:57
  4.363pH         26.0øC 27-12-2003 18:11:27
  4.363pH         26.0øC 27-12-2003 18:11:57
  4.363pH         26.0øC 27-12-2003 18:12:27
  4.363pH         26.0øC 27-12-2003 18:12:57
  4.363pH         26.0øC 27-12-2003 18:13:27
  4.363pH         26.0øC 27-12-2003 18:13:57
  4.363pH         26.0øC 27-12-2003 18:14:27
  4.363pH         26.0øC 27-12-2003 18:14:57
  4.363pH         26.0øC 27-12-2003 18:15:27
  4.363pH         26.0øC 27-12-2003 18:15:57
  4.362pH         26.0øC 27-12-2003 18:16:27
  4.362pH         26.0øC 27-12-2003 18:16:57
  4.362pH         26.0øC 27-12-2003 18:17:27
  4.363pH         26.0øC 27-12-2003 18:17:57
  4.362pH         26.0øC 27-12-2003 18:18:27
  4.363pH         26.0øC 27-12-2003 18:18:57
  4.363pH         26.0øC 27-12-2003 18:19:27
  4.362pH         26.0øC 27-12-2003 18:19:57
  4.363pH         26.0øC 27-12-2003 18:20:27
  4.362pH         26.0øC 27-12-2003 18:20:57
  4.363pH         26.0øC 27-12-2003 18:21:27
  4.363pH         26.0øC 27-12-2003 18:21:57
  4.363pH         26.0øC 27-12-2003 18:22:27
  4.363pH         26.0øC 27-12-2003 18:22:57
  4.363pH         26.0øC 27-12-2003 18:23:27
  4.363pH         26.0øC 27-12-2003 18:23:57
  4.363pH         26.0øC 27-12-2003 18:24:27
  4.363pH         26.0øC 27-12-2003 18:24:57
  4.363pH         26.0øC 27-12-2003 18:25:27
  4.363pH         26.0øC 27-12-2003 18:25:57
  4.364pH         26.0øC 27-12-2003 18:26:27
  4.363pH         26.0øC 27-12-2003 18:26:57
  4.364pH         26.0øC 27-12-2003 18:27:27
  4.364pH         26.0øC 27-12-2003 18:27:57
  4.363pH         26.0øC 27-12-2003 18:28:27
  4.364pH         26.0øC 27-12-2003 18:28:57
  4.364pH         26.0øC 27-12-2003 18:29:27
  4.363pH         26.0øC 27-12-2003 18:29:57
  4.364pH         26.0øC 27-12-2003 18:30:27
  4.364pH         26.0øC 27-12-2003 18:30:57
  4.364pH         26.0øC 27-12-2003 18:31:27
  4.364pH         26.0øC 27-12-2003 18:31:57
  4.365pH         26.0øC 27-12-2003 18:32:27
  4.365pH         26.0øC 27-12-2003 18:32:57
  4.364pH         26.0øC 27-12-2003 18:33:27
  4.364pH         26.0øC 27-12-2003 18:33:57
  4.365pH         26.0øC 27-12-2003 18:34:27
  4.364pH         26.0øC 27-12-2003 18:34:57
  4.364pH         26.0øC 27-12-2003 18:35:27
  4.364pH         26.0øC 27-12-2003 18:35:57
  4.365pH         26.0øC 27-12-2003 18:36:27
  4.364pH         26.0øC 27-12-2003 18:36:57
  4.365pH         26.0øC 27-12-2003 18:37:27
  4.365pH         26.0øC 27-12-2003 18:37:57
  4.364pH         26.0øC 27-12-2003 18:38:27
  4.365pH         26.0øC 27-12-2003 18:38:57
  4.364pH         26.0øC 27-12-2003 18:39:27
  4.364pH         26.0øC 27-12-2003 18:39:57
  4.364pH         26.0øC 27-12-2003 18:40:27
  4.365pH         26.0øC 27-12-2003 18:40:57
  4.365pH         26.0øC 27-12-2003 18:41:27
  4.364pH         26.0øC 27-12-2003 18:41:57
  4.364pH         26.0øC 27-12-2003 18:42:27
